Substance,AS-001,AS-002,AS-003,AS-004,AS-005,AS-006,AS-007,AS-008,AS-009,AS-010,AS-011,AS-012,AS-013,AS-014,AS-015,AS-016,AS-017,AS-018
Acetone ,2.000E-06,0,,0,2.81026680309485E-07,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Methanol ,7.348E-05,0,,0,8.09163027787656E-06,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Ethanol ,1.408E-06,0,,0,1.55049202929371E-07,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Acetic Acid ,1.179E-05,0,,0,1.29853707453348E-06,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Formic Acid ,3.960E-06,0,,0,4.36075883238856E-07,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Terpenes/Pinenes ,1.382E-04,0,,0,1.52142030374445E-05,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Formaldehyde ,5.368E-06,0,,0,5.91125086168227E-07,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Acetaldehyde ,1.408E-06,0,,0,1.55049202929371E-07,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
propionaldehyde ,1.056E-06,0,,0,1.16286902197028E-07,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
acrolein ,9.680E-07,0,,0,1.06596327013943E-07,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Fatty Acids,4.400E-07,0,,0,4.84528759154285E-08,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Resin Acids,1.056E-06,0,,0,1.16286902197028E-07,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Lignin,2.288E-01,0,,0.0127963335551364,0,0.26,0,1.00,0,0.0134506617311705,0,0.018983738004322,0,0.0274778901904372,0,0.0860743065027555,0.00,0.00
Cellulose ,3.696E-01,0,,0,0,0.42,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00
Galactoglucomannan,1.320E-01,0,,0.0142728335807291,0,0.29,0,0.00,0.02,0.0150026611616902,0,0.021174169312513,0,0,0,0,0.00,0.00
Arabinoglucuroxylan ,8.800E-02,0,,,0,,0,0.00,,,0,,,,0,0,0.00,0.00
Arabinogalactan,3.520E-02,0,,,0,,0,0.00,,,0,,,,0,0,0.00,0.00
Uronic acids etc,2.640E-02,0,,0,0,0.03,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0,0.00,0.00
Water,1.200E-01,1,,0.972930832864135,0.999973389680547,0,1.00,0.00,0.979473130469349,0.971546677107139,1,0.959842092683165,1,0.972522109809563,1,0.913925693497245,0.00,0.00
Total:,1.000E+00,1.000E+00,,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,1.000E+00,0.00,0.00
Stream mass flow mg/kg OD,1136638.23636364,1.04E+07,,240510.416666667,10319304.9030303,993489.583333333,76248.9,3077.65151515152,167232.765151515,228810.416666667,11700,162120.416666667,66690,112004.651515151,46683,35755.7515151515,0.00,0.00
Stream mass flow mg/kg Pine,1000241.648,9166666.66666667,,211649.166666667,9080988.31466667,874270.833333333,67099.032,2708.33333333333,147164.833333333,201353.166666667,10296,142665.966666667,58687.2,98564.0933333333,41081.04,31465.0613333333,0.00,0.00
Stream mass flow mg/annum,160038663680000,1.46666666666667E+015,,33863866666666.7,1452958130346667,139883333333333,10735845120000,433333333333.333,23546373333333.3,32216506666666.7,1647360000000,22826554666666.7,9389952000000,15770254933333.3,6572966400000,5034409813333.33,0.00,0.00
Stream mass flow tonne/annum,160038.66368,1466666.66666667,,33863.8666666667,1452958.13034667,139883.333333333,10735.84512,433.333333333333,23546.3733333333,32216.5066666667,1647.36,22826.5546666667,9389.952,15770.2549333333,6572.9664,5034.40981333333,0.00,0.00
Stream mass flow tonne/day,438.462092273973,4018.26484018265,0,92.7777168949772,3980.70720642922,383.24200913242,29.4132743013699,1.18721461187215,64.5106118721461,88.264401826484,4.51331506849315,62.5385059360731,25.725895890411,43.2061778995434,18.0081271232877,13.7929035981735,0,0
